latitude,longitude,DistanceFromMean,worst_api,end_completo
-27.5005997,-48.658031466666664,0.02,mapbox,"ACACIO REITZ, 251, BIGUACU - SC"
-25.3990301,-49.2311324,1.06,mapbox,"AEROPORTO BACACHERI, 245, CURITIBA - PR"
-25.553496633333335,-49.1747537,1.0,herev7,"ALAMEDA ARPO, , SAO JOSE DOS PINHAIS - PR"
-25.55232186666667,-49.1759467,0.4,mapbox,"ALAMEDA ARPO, 1113, SAO JOSE DOS PINHAIS - PR"
-25.5525282,-49.175676933333335,0.39,mapbox,"ALAMEDA ARPO, 1157, SAO JOSE DOS PINHAIS - PR"
-25.552863133333332,-49.175121100000005,0.38,mapbox,"ALAMEDA ARPO, 1241, SAO JOSE DOS PINHAIS - PR"
-25.5538768,-49.17378776666667,0.4,mapbox,"ALAMEDA ARPO, 1438, SAO JOSE DOS PINHAIS - PR"
-25.5537441,-49.17392723333333,0.36,mapbox,"ALAMEDA ARPO, 1446, SAO JOSE DOS PINHAIS - PR"
-25.5543583,-49.173038133333336,0.26,mapbox,"ALAMEDA ARPO, 1700, SAO JOSE DOS PINHAIS - PR"
-25.553496633333335,-49.1747537,1.0,herev7,"ALAMEDA ARPO, 17000, SAO JOSE DOS PINHAIS - PR"
-25.555208766666667,-49.174345699999996,2.18,google,"ALAMEDA ARPO, 210, SAO JOSE DOS PINHAIS - PR"
-25.559671666666663,-49.166557866666665,0.57,mapbox,"ALAMEDA ARPO, 2298, SAO JOSE DOS PINHAIS - PR"
-25.557045433333332,-49.172585766666664,2.5,mapbox,"ALAMEDA ARPO, 2565, SAO JOSE DOS PINHAIS - PR"
-25.549855966666666,-49.18435053333334,0.13,mapbox,"ALAMEDA ARPO, 359, SAO JOSE DOS PINHAIS - PR"
-25.607596666666666,-49.16687233333334,0.24,mapbox,"ALAMEDA ARTEX, 579, SAO JOSE DOS PINHAIS - PR"
-25.431566766666666,-49.28390943333333,0.09,google,"ALAMEDA AUGUSTO STELLFELD, 1050, CURITIBA - PR"
-25.435965733333333,-49.29495643333333,0.04,mapbox,"ALAMEDA AUGUSTO STELLFELD, 2249, CURITIBA - PR"
-25.430161766666668,-49.28000313333334,0.03,google,"ALAMEDA AUGUSTO STELLFELD, 600, CURITIBA - PR"
-25.431399,-49.28258863333334,0.01,google,"ALAMEDA AUGUSTO STELLFELD, 909, CURITIBA - PR"
-25.577769866666667,-49.17210963333334,1.35,mapbox,"ALAMEDA BOM PASTOR, 10, SAO JOSE DOS PINHAIS - PR"
-25.570102666666667,-49.17533266666666,2.0,mapbox,"ALAMEDA BOM PASTOR, 1025, SAO JOSE DOS PINHAIS - PR"
-25.561715633333336,-49.180845766666664,1.21,mapbox,"ALAMEDA BOM PASTOR, 104, SAO JOSE DOS PINHAIS - PR"
-25.563394900000002,-49.17547106666666,0.21,mapbox,"ALAMEDA BOM PASTOR, 1130, SAO JOSE DOS PINHAIS - PR"
-25.564852133333332,-49.174531,0.06,mapbox,"ALAMEDA BOM PASTOR, 1358, SAO JOSE DOS PINHAIS - PR"
-25.56413596666667,-49.174766766666664,0.19,herev7,"ALAMEDA BOM PASTOR, 1436, SAO JOSE DOS PINHAIS - PR"
-25.56162996666667,-49.18082656666667,1.24,mapbox,"ALAMEDA BOM PASTOR, 146, SAO JOSE DOS PINHAIS - PR"
