"TAG","colorName","colorHEX","symbol","line","UNITE"
"PASEO.CMD_HUB.HO40",,,,"solid","CMD"
"PASEO.CMD_HUB.HO41",,,,"solid","CMD"
"PASEO.CMD_HUB.HS07",,,,"solid","kW DC"
"PASEO.CMD_HUB.HS10",,,,"solid","%"
"PASEO.HP45",,,,"solid","watchdog"
"SEH0.EPB_SYS_65A1_IT_01.HM05",,,,"solid","A"
"SEH0.EPB_SYS_65A1_JTW_01_HC20",,,,"solid","W DC"
"SEH0.EPB_SYS_68A1_IT_01.HM05",,,,"solid","A"
"SEH0.EPB_SYS_68A1_JTW_01_HC20",,,,"solid","W DC"
"SEH0.EPB_TT_01.HM05",,,,"solid","°C"
"SEH0.EPB_TT_02.HM05",,,,"solid","°C"
"SEH0.Etat.HP40",,,,"solid","ETAT"
"SEH0.Etat.HP41",,,,"solid","ETAT"
"SEH0.GN_FT_01_HC01",,,,"solid","Nl/min"
"SEH0.GWPBC_HEX_01_TT_01.HM05",,,,"solid","°C"
"SEH0.GWPBC_HEX_01_TT_02.HM05",,,,"solid","°C"
"SEH0.GWPBC_PMP_01_JT_01.JTVA_HC20",,,,"solid","VA AC"
"SEH0.GWPBC_PMP_01_JT_01.JTVAR_HC20",,,,"solid","VAR AC"
"SEH0.GWPBC_PMP_01_JT_01.JTW_HC20",,,,"solid","W AC"
"SEH0.GWPBC_PMP_01.HO00",,,,"solid","TOR"
"SEH0.GWPBC_PMP_02_JTW_01_HC20",,,,"solid","W DC"
"SEH0.GWPBC_PMP_02.HO00",,,,"solid","TOR"
"SEH0.GWPBC_TNK_01_LS_01_HP04",,,,"solid","TOR"
"SEH0.GWPBC_TNK_01_LS_02_HP04",,,,"solid","TOR"
"SEH0.GWPBC_TNK_01_TT_01.HM05",,,,"solid","°C"
"SEH0.H2_FT_01_HC01",,,,"solid","Nl/min"
"SEH0.H2OP_FT_01_HC01",,,,"solid","g/min"
"SEH0.H2OR_JTWT_01_HC01",,,,"solid","Wth"
"SEH0.JT_01.JTVAR_HC20",,,,"solid","VAR AC"
"SEH0.JT_01.JTW_HC20",,,,"solid","W AC"
"SEH0.JT_02.JTVA_HC20",,,,"solid","VA AC"
"SEH0.JT_02.JTVAR_HC20",,,,"solid","VAR AC"
"SEH0.JT_02.JTW_HC20",,,,"solid","W AC"
"SEH0.L051_GN_ECV2_01.HO00",,,,"solid","TOR"
"SEH0.L052_GN_AT_01_BLUE_01.HM05",,,,"solid","RGB"
"SEH0.L052_GN_AT_01_BLUE_02.HM05",,,,"solid","RGB"
"SEH0.L052_GN_AT_01_GREEN_01.HM05",,,,"solid","RGB"
"SEH0.L052_GN_AT_01_GREEN_02.HM05",,,,"solid","RGB"
"SEH0.L052_GN_AT_01_RED_01.HM05",,,,"solid","RGB"
"SEH0.L052_GN_AT_01_RED_02.HM05",,,,"solid","RGB"
