,GeoAPI,geometry,address,end_completo
13945,Pelias,POINT (-49.180008 -25.527962),Sao Jose dos Pinhais,"TRAVESSA FERDINANDO ARISTIADES MOLETA, 282, SAO JOSE DOS PINHAIS - PR"
4792,Pelias,POINT (-49.280018 -25.459935),Curitiba,"R EDUARDO SPRADA, 4390, CURITIBA - PR"
7575,Pelias,POINT (-49.180008 -25.527962),Sao Jose dos Pinhais,"R LEONIDAS SECHI, 292, SAO JOSE DOS PINHAIS - PR"
6611,Pelias,POINT (-49.180008 -25.527962),Sao Jose dos Pinhais,"R JOAO ERNESTO KILIAN, 692, SAO JOSE DOS PINHAIS - PR"
5816,Pelias,POINT (-49.180008 -25.527962),Sao Jose dos Pinhais,"R HARRY FEEKEN, 1111, SAO JOSE DOS PINHAIS - PR"
